job_title,company,location,job_type,job_snippet,salary,company_rating,href
Software Engineer - Full Stack - Customer success,Connectly.ai,UnitedStates,Full Time," Building a revolutionary e-commerce experience on WhatsApp
 Joining a VC-backed early-stage startup
 Working with a world-class team
 Having rapid career advancement opportunities
 Working as a full-time software engineer, remotely
 Working alongside talented engineers growing the SaaS AI Messaging platform
 Developing on a modern tech stack built with Golang, Typescript, Python, gRPC, React, AWS
 Scaling up customer operations and expanding product offerings to become a tech leader
 Contributing to system architecture design decisions and drafting technical specs/documentation
 Working in an international, multi-cultural environment Degree in Computer Science, Computer Engineering or related field
 0-5 years of experience in software development
 Experience with at least one of Golang, Typescript, Python and working experience with the Connectly tech stack
 High-level communication skills in English – verbal and written and the ability to work in an international, multi-cultural environment.
 Speaking Spanish is a big plus",N/A,N/A,https://www.connectly.ai/
Finance Intern: Accounting & Treasury,Sezzle,UnitedStates,Internship," Sezzle's Finance department is offering a paid internship for a student interested in gaining exposure to the treasury and accounting facets of the entity's business
 The candidate will assist with general month-end closing procedures, executing on Sezzle's account payable process, and reconciling general ledger accounts, among other responsibilities
 The hours of operation are 8:30 AM to 5 PM, Monday to Friday, with a requirement to come into the office in Minneapolis one day per week with the Finance team
 Sezzle is committed to social and environmental performance, accountability, and transparency, and the ideal candidate will possess a high level of integrity, accuracy, dependability, enthusiasm, and confidentiality Must be actively enrolled in an undergraduate program at an accredited local University, with a major in Accounting or Finance. Junior or Senior preferred, with a current GPA of 3.0 or above
 Completed or enrolled in Intermediate Accounting I (or equivalent first upper-division accounting class)
 Strong technical and organizational skills in addition to excellent written and verbal communication skills, in a professional environment
 Avid problem-solver and self-starter
 Proficiency in use of Microsoft Office applications (Excel, Word)
 Must be available to work no less 25 hours per week during the summer and 15 hours per week during the academic school year
 The ideal candidate will possess A+ character, a hard-working mentality, ownership, a fun attitude, and smarts",$18 - $22 / year,N/A,https://sezzle.com/
2020463 - Product Support Engineer,Plivo,India,Full Time," Take ownership of customer issues
 Troubleshoot problems and see them through to resolution
 Escalate unresolved issues to the appropriate internal teams
 Document knowledge in the form of solution articles
 Master the use of a helpdesk software
 Collaborate with Product Management & Engineering teams to identify and drive improvements to our existing products Relevant Bachelor's degree at a minimum
 1-2 years of experience in a client-facing, technical support role
 Understanding and hands-on on at least one of the programming languages (Ruby, Python, PHP, Java, DotNet) or
 Strong knowledge of RESTful API's with the ability to understand and troubleshoot issues
 Knowledge of SQL, Networking (TCP/UDP/IP), and HTTP is a plus
 Obsessed with customer support and delighting the customers
 Knowledge of analytics tools such as MS Excel and Google sheets
 Team player who can engage with other functions to deliver a better customer experience and drive collaboration
 Proven track record of taking ownership of tasks and driving forward to resolutions
 Analytical, with the ability to interpret customer data and trends
 Excellent written and spoken communication skills, listening skills, and presentation skills
 Capable of working independently and developing relationships with customers, partners, internal team members and other related stakeholders.
 Willing to work on weekends",N/A,N/A,https://www.plivo.com/
2020455 - Customer Support Engineer,Plivo,India,Full Time,"As a Customer Support Engineer in our Support team, you will:
 Take ownership of customer issues
 Troubleshoot problems and see them through to resolution
 Escalate unresolved issues to the appropriate internal teams
 Document knowledge in the form of solution articles
 Master the use of a helpdesk software Relevant Bachelor's degree at a minimum
 1-2 years of experience in a client-facing support role
 Obsessed with customer support and delighting the customers
 Team player who can engage with other functions to deliver a better customer experience and drive collaboration
 Proven track record of taking ownership of tasks and driving forward to resolutions
 Excellent written and spoken communication skills, listening skills, and presentation skills
 Willing to work on weekends",N/A,N/A,https://www.plivo.com/
2020202 - Associate Director Product Management - API,Plivo,India,Full Time,"The key focus for this role is about Why and What to build. In this role, you will work with engineering, marketing, sales and support to own your respective product end to end. Successful candidates will have shown the ability to ship a quality product in a fast-paced environment. It is particularly important that you have experience working directly with engineers and engineering management.
Roles & Responsibilities
 Ownership of one of Plivo's products to define a long term roadmap.
 Engage with customers and cross-functional teams to design, deliver, and support the product.
 Managing the product backlog and prioritising product stories in engineering sprints.
 Working closely with the engineering teams on new features and critical bugs. Internal and External stakeholder management.
 Roadmap definition and execution.
 Product training programs.
The buck stops at you on the following key aspects of the product
 Product Quality: Bugs, Uptime, Stability , Test Process
 Product Development: User experience, New features and enhancements
 Product Adoption: Growth, Customer Acquisition, Churn & Go-To-Market for new features.
 P&L: Pricing, Packaging, Margins
 Sustainability: Enabling Sales, Support, Solutions Engineering & Customer Success teamsAt least 10 years of overall experience and 5 years of prior PM experience.
Software development background is required.
Experience working with REST APIs is bonus.
Experience with stakeholders and customer management.",N/A,N/A,https://www.plivo.com/
International Commercial Operations Analyst - EMEA Quoting (REMOTE),Axon,Spain,Full Time," The job involves structuring complex multiple-element quotes and analyzing and researching existing customer contracts 
 This position reports to a Commercial Operations Manager and requires partnership with Commercial Controllership, Accounts Receivable, and Ordering teams
 The role requires extensive understanding of Axon's Quote-to-Cash process and Salesforce.com CRM platform experience
 Other responsibilities include customer relationship management, test new product introductions, timely and accurate processing of data and teamwork/collaboration Bachelor's Degree or equivalent experience
 3+ years experience in sales operations, quoting, pricing or commercial finance role
 Finance oriented with attention to detail
 Salesforce.com CRM platform experience (CPQ preferred)
 Demonstrated experience in Microsoft Excel
 Clear and concise written & verbal communication
 Time & deadline management
 Strong analytical skills
 Ability to take initiative, ownership, and be proactive in their work
 Comfortable with conflict resolution & persuasion
 Should have a service mentality
 Willing to work overtime hours when required especially during peak seasons of the year",N/A,N/A,https://www.axon.com/careers
International Commercial Operations Analyst - EMEA Quoting (REMOTE),Axon,France,Full Time," Analyze and research existing customer contracts to accurately identify customer performance obligations and build appropriate invoicing structures
 Develop a detailed understanding of Axon's Quote-to-Cash process and build quotes that ensure accurate fulfillment and invoicing to deliver a world class customer experience
 Work closely with our business partners across Commercial Controllership, Order Processing, and Accounts Receivable to ensure data is processed in our systems timely and accurately
 Prepare thorough and accurate research across multiple data sources for existing customers to support Axon's contract modification process and document conclusions to ensure company procedures are followed end-to-end
 Test new product introductions and system updates to ensure business process changes are executed smoothly and timely
 Other duties that may arise
 Bachelor's Degree or equivalent experience
 3+ years experience in sales operations, quoting, pricing or commercial finance role.
 Finance oriented with an excellent attention to detail
 Salesforce.com CRM platform experience (CPQ preferred)
 Willing to work overtime hours when required especially during peak seasons of the year
 Demonstrated experience in Microsoft Excel including Pivot tables, vlookups, sumifs, data formatting
 Clear and concise written & verbal communication
 Time & deadline management
 Strong analytical skills
 Teamwork & collaboration-oriented
 Able to take initiative, ownership, and be proactive in their daily work
 Comfortable with conflict resolution & persuasion
 Should have a service mentality
 Able to work in a fast-paced environment Competitive salary and 401k with employer match
 Discretionary paid time off
 Paid parental leave for all
 Medical, Dental, Vision plans
 Fitness Programs
 Emotional & Mental Wellness support
 Learning & Development programs
 Snacks in our offices",N/A,N/A,https://www.axon.com/careers
Data Analyst,Circulo Health,UnitedStates,Full Time," Build Circulo's data/analytics function
 Develop data-driven solutions
 Build reporting and data products
 Provide data through ongoing and ad-hoc requests
 Build self-service analytics capabilities Bachelor's degree in a quantitative discipline
 0-3 years of experience
 Strong background in SQL
 Ability to understand business processes and how they relate to underlying data
 Demonstrated ability to clean, synthesize and validate data analysis
 Python experience a plus
 Ability to work collaboratively
 Strong communication, interpersonal skills, and ability to build relationships and influence",$75k - $90k / year,N/A,https://www.circulohealth.com/
Provider Support Specialist,Foodsmart,UnitedStates,Full Time," Serve as the main point of contact for support and questions for our Provider Network
 Handle inbound emails from providers and provide timely, attentive, and upbeat support for any issues or questions they have in a manner that reflects positively on Foodsmart Nutrition Network
 Assist providers in navigating the Foodsmart platform and Foodsmart Nutrition Network telehealth processes
 Work with internal teams to resolve provider issues in a timely and effective manner
 Collaborate with Provider team to identify and resolve provider-related issues
 Assist with the creation and management of provider accounts across vendors
 Identify opportunities to improve provider satisfaction and retention
 Participate in special projects and perform other duties as assigned Bachelor's degree in a relevant field (Healthcare Administration, Healthcare, Public Health)
 0-2 years of experience in a provider relations or customer service role
 Knowledge of healthcare industry
 Positive demeanor especially when facing hard problems
 Strong organizational skills
 Excellent communication skills, both written and verbal
 Ability to work in a fast-paced environment and manage multiple tasks simultaneously
 Strong problem-solving skills and attention to detail
 Proficient in Google Suite
 Experience working in a remote environment is a plus
 Ability to work in the U.S.
 Preferred: Active credentialing as a Registered Dietitian by the Commission on Dietetic Registration (CDR) and experience in telehealth or digital health",$50k - $55k / year,N/A,https://www.foodsmart.com/
Enterprise Sales Associate,Backstage,UnitedStates,Full Time," Manage communications with writers and educators of all levels
 Assist Enterprise Team with administrative needs
 Help marketing department connect with VIP talent and educators
 Own testimonials and brand-specific case studies
 Support 500+ institutions
 Communicate agreement revision requests to legal team
 Understand and negotiate license agreements
 Research and report on pertinent entertainment industry data
 Log sales, quote, and prospecting in appropriate platforms
 Help marketing with programs to generate and nurture leads
 Participate in designing integrated digital marketing campaigns
 Occasional ad hoc projects as required BA/BS in Screenwriting, Film, Business, or comparable discipline preferred
 Interest in the entertainment industry
 Exceptional project management skills
 Engaging and personable
 Flexible, collaborative, and supportive
 Self-starter
 Experience with data entry in Google Sheets or Excel required
 Experience with project management and CRM platforms a plus
 Experience with Final Draft highly desired",$25 - $27 / year,N/A,https://www.backstage.com/
